"ID",管理コード,名前,略名,店舗名,説明,表示順序,適用開始日,適用終了日,有効フラグ,作成日時,作成者,更新日時,更新者
6348,,"チケット利用","チケット利用",本部,"",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6349,,"チケット利用","チケット利用","LUXAS 渋谷(ラクサス 渋谷)","",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6350,,"チケット利用","チケット利用","LUXAS+中目黒","",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6351,,"チケット利用","チケット利用","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6352,,"チケット利用","チケット利用","LUXAS五反田東口（ラクサス五反田東口）","",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6353,,"チケット利用","チケット利用","LUXAS錦糸町(ラクサス錦糸町)","",4,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2019-09-22 14:22:35,株式会社　東邦_user
6354,,"チケット利用","チケット利用","LUXAS五反田西口（ラクサス五反田西口）","",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6355,,"チケット利用","チケット利用","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6356,,"チケット利用","チケット利用","LUXAS 新橋","",0,2016-01-01,,有効,2016-09-22 13:19:22,株式会社　東邦_user,2016-09-22 13:19:22,株式会社　東邦_user
6357,,"プリペイド販売","プリペイド販売",本部,"",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
6358,,"プリペイド販売","プリペイド販売","LUXAS 渋谷(ラクサス 渋谷)","",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
6359,,"プリペイド販売","プリペイド販売","LUXAS+中目黒","",0,2015-11-01,,有効,2016-09-22 13:19:45,株式会社　東邦_user,2016-09-22 13:19:45,株式会社　東邦_user
